"@timestamp","src_ip",realm,"auth_user","response_code","http_method","bytes_from_client","bytes_to_client","media_type",url
"Jan 17, 2021 @ 09:45:52.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,403,GET,"9,223","3,195",,http://ciscobinary.openh264.org/openh264-win64-2e1774ab6dc6c43debb0b5b628bdf122a391d521.zip
"Jan 17, 2021 @ 13:29:52.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,372,729,text/plain,https://yandex.ru/maps/prefetch.txt
"Jan 17, 2021 @ 13:29:20.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,403,GET,"9,223","3,195",,http://ciscobinary.openh264.org/openh264-win64-2e1774ab6dc6c43debb0b5b628bdf122a391d521.zip
"Jan 17, 2021 @ 15:10:20.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,0,0,,m1p.ru:443
"Jan 17, 2021 @ 15:10:20.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,0,0,,maot.ru:443
"Jan 17, 2021 @ 15:35:27.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,708,"30,792",text/html,https://www.audit-it.ru/articles/account/p954665.html
"Jan 17, 2021 @ 15:31:11.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,500,CONNECT,0,0,,px.ads.linkedin.com:443
"Jan 17, 2021 @ 15:21:42.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,500,CONNECT,0,"2,940",,mitdmp.whiteboxdigital.ru:443
"Jan 17, 2021 @ 15:21:42.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,500,CONNECT,0,"2,940",,mitdmp.whiteboxdigital.ru:443
"Jan 10, 2023 @ 14:22:54.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,"1,116","448,979",text/html,https://yandex.ru/search/?msid=1673360566151313-13264044229869466480-vla1-3880-vla-l7-balancer-8080-BAL-4032&text=%D0%BF%D1%83%D0%BD%D0%BA%D1%82%D1%83%203.1%20%D1%81%D1%82%D0%B0%D1%82%D1%8C%D0%B8%20214%20%D0%9D%D0%9A%20%D0%A0%D0%A4%20&rdrnd=293100&lr=213&redircnt=1673360573.1
"Jan 17, 2021 @ 13:08:06.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,403,GET,"9,223","3,195",,http://ciscobinary.openh264.org/openh264-win64-2e1774ab6dc6c43debb0b5b628bdf122a391d521.zip
"Jan 17, 2021 @ 11:30:21.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,0,0,,read.sendsay.ru:443
"Jan 17, 2021 @ 15:20:13.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,204,GET,417,349,,https://dss.hybrid.ai/Pixel/TrackTp?pid=624476457bc72f06e0c90f3a&foadh=&gapl=&cs=&pcs=&vcs=
"Jan 17, 2021 @ 15:20:13.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,204,GET,616,476,,https://dss.hybrid.ai/Pixel/Track2?pid=624476457bc72f06e0c90f3a&bobid=&evt=PageView&cost=&text=&ltm=false&cnt=&url=https%3A%2F%2Fwww.avito.ru%2Flyubertsy%2Fkommercheskaya_nedvizhimost%2Fsklad_8.8_m_2547617836&rf=&lng=ru-RU&tz=-3&sw=1617&sh=909&foadh=&gapl=&cs=&pcs=&vcs=&r=
"Jan 17, 2021 @ 15:20:13.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,455,"2,531",image/jpeg,https://88.img.avito.st/image/1/1.-WD7HLawVYnbvjlD4Q6v5E29X4PbvjmLTQ.HS5MOEHDV7-ab_jM4BHB3mf15b95opU0_vdhWBlThI8
"Jan 17, 2021 @ 15:20:13.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,429,POST,"1,581",512,text/html,https://sntr.avito.ru/api/2296/store/?sentry_key=f1cfe913d6f44732a4b1601444eccb74&sentry_version=7
"Jan 17, 2021 @ 15:20:13.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,396,"2,337",text/html,https://gum.criteo.com/syncframe?topUrl=www.avito.ru&origin=onetag
"Jan 17, 2021 @ 15:20:09.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,601,438,image/gif,"https://www.avito.ru/stat/radar?data={""p"":"""",""c"":{""frontend.new-desktop.env.prod.degradation.SCRIPT"":1}}"
"Jan 17, 2021 @ 15:20:08.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,455,"2,365",image/jpeg,https://05.img.avito.st/image/1/1.6E1pZrawRKRJxChMc3S-yd_HTq5JxCim3w.x4k4d6HKEFFhGcCrjE__Jxi12X_93_H6m7Bxk3lswcw
"Jan 17, 2021 @ 15:20:08.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,456,"7,237",image/png,https://23.img.avito.st/image/1/1.MvEBkba3bHq1sp6atexH3kpgnBqzNpoYfzM.Jefwzc9IPpH-j2zGQtTcRWX1jiSHUY0Ra8gH44aJn44
"Jan 17, 2021 @ 15:20:08.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,455,"2,420",image/jpeg,https://74.img.avito.st/image/1/1.y4RUcLawZ2100gvDTmKdAOLRbWd00gtv4g.vaEmy2ei11jSuNe1sMzVLslW6SINGO_GV74XMweF8l4
"Jan 17, 2021 @ 15:20:08.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,455,"2,587",image/jpeg,https://81.img.avito.st/image/1/1.wC4QfLawbMcw3gB_Cm6WqqbdZs0w3gDFpg.KSn_xJQSURP4bze8aED5UMG-TbD0abnF8kgaXsb8Fqk
"Jan 17, 2021 @ 15:20:08.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,455,"2,326",image/jpeg,https://87.img.avito.st/image/1/1._pSgOLawUn2Amj65uiqoEBaZWHeAmj5_Fg.3UWx8SCkIrCe2VCYXj5mo7wYTxv2z8bE8kM-POnuV8g
"Jan 17, 2021 @ 15:20:08.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,452,"39,827",image/jpeg,https://81.img.avito.st/image/1/1.wC4QfLaybMcm1a7CHHPfPcnfbMGw2W4.Qw9Abej5Fap_sToKA5ouvhFeIE-OqalX9QB74EnvYGc
"Jan 17, 2021 @ 15:20:08.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,521,"1,713",text/javascript,https://www.avito.ru/s/a/j/dfp/px.js?ch=2
"Jan 17, 2021 @ 15:20:08.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,503,GET,521,422,text/plain,https://www.avito.ru/s/a/j/dfp/px.js?ch=1
"Jan 17, 2021 @ 15:20:06.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,319,"195,107",text/html,https://www.avito.ru/lyubertsy/kommercheskaya_nedvizhimost/sklad_8.8_m_2547617836
"Mar 17, 2021 @ 15:19:33.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,302,GET,"1,150","1,010",,https://yandex.ru/search?clid=2186620&text=%D1%81%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F+%D0%BE+%D0%BD%D0%B5%D1%82%D1%80%D1%83%D0%B4%D0%BE%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1%D0%BD%D0%BE%D1%81%D1%82%D0%B8+%D0%B3%D0%BE%D1%81%D1%83%D1%81%D0%BB%D1%83%D0%B3%D0%B8
